,AssetName,AssetCode,InvestmentStrategy,AcquisitionType,AcquisitionDate,SaleDate,IsTaxCredit,ActualStabilizationDate,AreaType,AssetClass,AssetStyle,StabilizationStatus,OccupancyStabilizationDate,CortosMSAID,CortosSubMarketID,CoStarSubMarketID,CBSAID,oslPropertyID,oslSubPropertyID,AverageBuildYear,YearBuiltEnd,YearRenovated,CurrentUnitCount,RentableSquareFoot,ConstructionBeginDate,ConstructionEndDate,Acreage,AcquisitionPrice,TotalHardCosts,TotalSoftAndClosingCosts,TotalProjectCosts,IsSeniorHousing,IsUnitReno,IsRecapitalization,ZipCode,Latitude,Longitude,WebAddress,EmailAddress,osaEntityID,Phone,Address1,PlannedUnitCount,LegalName,TaxID,Portfolio,City,StateCode,ParentAssetName
0,Brooksedge,brook43068,Value-Add,Acquisition,2014-09-30 00:00:00.0000000,,False,2015-10-10 00:00:00.0000000,Suburban,B,Garden-Style,Stabilized,2015-10-10 00:00:00.0000000,18140.0,10.0,8015.0,18140.0,3388191.0,231.0,1999.0,1999.0,,224.0,221088.0,2017-09-30 00:00:00.0000000,2018-07-31 00:00:00.0000000,18.73,11500000.0,1261239.5,2549814.08,15311053.58,False,True,False,43068-9432,39.924153,-82.80466,http://www.brooksedgeapts.com,brooksedge@cortland.com,brooksedge,(380) 208-0619,2870 Kengary Way,,"Kengary Way OH Partners, LLC",47-0985841,Parkwood-Ohio,Reynoldsburg,OH,Brooksedge
1,Island,islcbre33615,Core-Plus,Acquisition,2019-04-01 00:00:00.0000000,,False,2017-07-07 00:00:00.0000000,Suburban,B,Garden-Style,Stabilized,2017-07-07 00:00:00.0000000,45300.0,3.0,7910.0,45300.0,4531917.0,1164.0,1987.0,1987.0,,400.0,402249.0,,,27.0,60795000.0,1633333.33333333,662615.4717577649,63090948.8050911,False,True,True,33615-5804,28.002211,-82.602257,https://cortland.com/apartments/cortland-bayport/,bayport@cortland.com,islandcbre,(813) 437-5462,10510 Parkers Landing Dr,,,,YieldCo IV,Tampa,FL,Cortland Bayport
2,Cortland NoDa,cornd28210,Core-Plus,Acquisition,2020-07-23 00:00:00.0000000,,False,2021-08-13 00:00:00.0000000,Suburban,A,Garden-Style,Stabilized,2021-08-13 00:00:00.0000000,16740.0,4.0,7771.0,16740.0,4670796.0,1388.0,2020.0,2020.0,,309.0,268824.0,2020-08-31 00:00:00.0000000,2021-03-31 00:00:00.0000000,3.6,80340000.0,428000.0,988171.0,81756171.0,False,False,False,28206-3606,35.237628,-80.822775,cortland.com/noda,NoDa@cortland.com,noda,(980) 399-5886,1700 N Brevard St,,North Brevard NC Partners LP,85-1559997,CGI,Charlotte,NC,Cortland NoDa
3,The Flats at Westover Hills,flatwhbre78245,Core-Plus,Acquisition,2020-02-28 00:00:00.0000000,,False,,Suburban,B,Garden-Style,Non-Stabilized,,41700.0,4.0,7584.0,41700.0,3712020.0,1362.0,2006.0,2006.0,,272.0,235168.0,,,12.74,35104118.0,,,,False,True,True,78245-2111,29.427822,-98.654283,https://www.flatsatwestoverhills.com,TheFlats@cortland.com,theflatsbre,(210) 741-9947,1538 Cable Ranch Rd,,,84-4601448,Acorn 1,San Antonio,TX,The Flats at Westover Hills
4,Cortland Onion Creek,purcoc78748,Core-Plus,Acquisition,2019-09-27 00:00:00.0000000,,False,2019-10-27 00:00:00.0000000,Suburban,A,Garden-Style,Stabilized,2019-10-27 00:00:00.0000000,12420.0,6.0,7563.0,12420.0,4559218.0,1243.0,2016.0,2016.0,,276.0,228514.0,,,13.58,44854290.7841392,1823886.15072,571151.000190347,47249327.9350496,False,False,False,78748-2165,30.138653,-97.80006,www.cortland.com/onion-creek,OnionCreek@cortland.com,onioncreek,(512) 877-1988,1900 Onion Creek Pkwy,,PURE CREEKSIDE APTS LLC,81-4724068,Portfolio 22,Austin,TX,Cortland Onion Creek
5,Cortland Peachtree Corners,echl30092,Core-Plus,Acquisition,2019-09-13 00:00:00.0000000,,False,2020-07-05 00:00:00.0000000,Suburban,B,Garden-Style,Stabilized,2020-07-05 00:00:00.0000000,12060.0,31.0,6727.0,12060.0,4560716.0,1226.0,2018.0,2018.0,,296.0,239602.0,2019-10-31 00:00:00.0000000,2020-09-30 00:00:00.0000000,14.04,66100000.0,1575310.4532,1151374.50631258,68826684.9595126,False,False,False,30092-3548,33.958492,-84.219401,cortland.com/peachtree-corners,PeachtreeCorners@cortland.com,peachtreecorners,(404) 999-4052,510 Guthridge Ct,,,,CGI,Peachtree Corners,GA,Cortland Peachtree Corners
6,Cortland Cary - Phase 2,sola27519,Core-Plus,Acquisition,2021-03-12 00:00:00.0000000,,False,2021-09-20 00:00:00.0000000,Suburban,A,Garden-Style,Stabilized,2021-09-20 00:00:00.0000000,239580.0,6.0,7346.0,39580.0,4755410.0,1481.0,2021.0,2021.0,,240.0,243956.0,2021-02-28 00:00:00.0000000,2021-07-31 00:00:00.0000000,,59400000.0,881650.0,1306311.54048888,61587961.5404889,False,False,False,27519-7640,35.830257,-78.881785,cortland.com/cary,Cary@cortland.com,alston,(919) 689-4956,5110 Alston Glen Dr,,Alston Glen NC Partners LP (DE),83-2483088,CGI,Cary,NC,Cortland Cary
7,Sunbury Ridge,sunr43219,Value-Add,Acquisition,2014-09-30 00:00:00.0000000,,False,2014-10-30 00:00:00.0000000,Suburban,A,Garden-Style,Stabilized,2014-10-30 00:00:00.0000000,18140.0,4.0,8020.0,18140.0,3388230.0,235.0,2000.0,2000.0,,226.0,189660.0,2017-09-30 00:00:00.0000000,2018-10-31 00:00:00.0000000,20.5,13000000.0,2253942.0,673661.7458,15927603.7458,False,True,False,43219-3595,40.012733,-82.93167,http://www.sunburyridgeapts.com,sunburyridge@cortland.com,sunbury,(380) 208-0559,3030 Sunbury Ridge Dr,,"Sunbury OH Partners, LLC",47-1000096,Parkwood-Ohio,Columbus,OH,Sunbury Ridge
8,Cortland Dublin,greho43016,Value-Add,Acquisition,2021-10-12 00:00:00.0000000,,False,2021-11-11 00:00:00.0000000,Suburban,A,Garden-Style,Stabilized,2021-11-11 00:00:00.0000000,18140.0,8.0,8014.0,18140.0,4870578.0,1630.0,2020.0,2020.0,,144.0,139032.0,,,,26109375.0,2014252.8283374,1414067.38928779,29537695.2176252,False,True,False,43016-7786,40.069028,-83.159003,cortland.com/dublin,dublin@cortland.com,greydonhouse,(614) 820-8808,5284 Avery Rd,,Greydon House LLC,83-2495528,CGI,Dublin,OH,Cortland Dublin
9,Cortland at P83,corp885345,Core-Plus,Acquisition,2021-09-28 00:00:00.0000000,,False,2021-10-28 00:00:00.0000000,Suburban,A,Garden-Style,Stabilized,2021-10-28 00:00:00.0000000,38060.0,23.0,7843.0,38060.0,4857240.0,1618.0,2020.0,2020.0,,354.0,323123.0,2021-10-31 00:00:00.0000000,2024-09-30 00:00:00.0000000,,132000000.0,1981375.389,1412253.09814143,135393628.487141,False,False,False,85382-5026,33.635714,-112.219548,cortland.com/p83,p83@cortland.com,cortlandp83,(623) 244-8784,16601 N 75th Ave,,N 75th AZ Partners LLC,83-2495528,CGI,Peoria,AZ,Cortland at P83
10,Cortland Mallard Creek,cormc28262,Value-Add,Acquisition,2021-12-14 00:00:00.0000000,,False,,Suburban,A,Garden-Style,Non-Stabilized,,16740.0,5.0,7783.0,16740.0,4904463.0,1689.0,2000.0,2000.0,,368.0,360132.0,,,,100000000.0,13788345.0,1807131.0,115595476.0,False,True,False,28262-1054,35.318276,-80.730143,cortland.com/mallard-creek,mallardcreek@cortland.com,mallard,(704) 703-8561,500 Solano Dr,,Solano NC Partners LLC,85-2361889,Stand-alone,Charlotte,NC,Cortland Mallard Creek
11,Cortland Northlake,norsu43074,Core-Plus,Acquisition,2020-12-17 00:00:00.0000000,,False,2021-08-25 00:00:00.0000000,Suburban,A,Garden-Style,Stabilized,2021-08-25 00:00:00.0000000,18140.0,9.0,8012.0,18140.0,4721957.0,1449.0,2019.0,2019.0,,252.0,280986.0,2020-12-31 00:00:00.0000000,2021-11-30 00:00:00.0000000,,43750000.0,2845818.46790115,3290357.44162247,49886175.9095236,False,False,False,43074-7620,40.270002,-82.934068,cortland.com/northlake,northlake@cortland.com,northlakesummit,(740) 279-3222,7205 Northlake Summit Dr,,Northlake Summit LLC,83-2495528,CGI,Sunbury,OH,Cortland Northlake
12,Cortland at the Nations,corn37209,Core-Plus,Acquisition,2022-01-26 00:00:00.0000000,,False,2022-08-08 00:00:00.0000000,Suburban,A,Mid-Rise,Stabilized,2022-08-08 00:00:00.0000000,34980.0,5.0,7960.0,34980.0,4922971.0,1730.0,2022.0,2022.0,,343.0,277515.0,,,,128625000.0,552825.0,3164853.0,132342678.0,False,False,False,37209-1597,36.162655,-86.845193,cortland.com/at-the-nations,thenations@cortland.com,nations,(615) 903-8275,4731 Centennial Blvd,,Centennial TN Partners LLC,85-2361889,Stand-alone,Nashville,TN,Cortland at the Nations
13,Cortland Inkwell Greenhouse,inkwg77084,Core-Plus,Acquisition,2020-07-01 00:00:00.0000000,,False,2021-06-01 00:00:00.0000000,Suburban,A,Mid-Rise,Stabilized,2021-06-01 00:00:00.0000000,26420.0,20.0,6836.0,26420.0,4645673.0,1385.0,2019.0,2019.0,,301.0,296617.0,2020-08-31 00:00:00.0000000,2022-01-31 00:00:00.0000000,,55969076.305220895,305000.0,925217.7239204259,57199294.0291413,False,False,False,77084-7951,29.796432,-95.7043,cortland.com/inkwell-greenhous,InkwellGreenhouse@cortland.com,inkwell,(281) 502-4837,2218 Greenhouse Rd,,DD Greenhouse LLC,46-3688444,CGI,Houston,TX,Cortland Inkwell Greenhouse
